subtask,model,checkpoint,F1_pos,AUC,ICM,ICMSoft,thr,n_val
2.1,Vista E-2.1 max512,vista_e_task21_max512_best.pt,0.87146529562982,0.8851610500837832,0.3944298294321188,0.3024958284506362,0.6,598
2.1,Vista E-2.1 max512_R,vista_e_task21_max512_R_best.pt,0.8632707774798928,0.8925215664370384,0.4087644000076273,0.3878021669013653,0.61,598
2.1,Vista E-2.1 Longformer,vista_e_task21_longformer_best.pt,0.8676277850589778,0.8833054055731396,0.4008120767577049,0.5428041872045641,0.57,598
2.1,Vista E-2.1 Longformer_R,vista_e_task21_longformer_R_best.pt,0.8790123456790123,0.8842797740954509,0.3800952588566103,0.5334069624999747,0.5,598
